student_id,attendance_rate,quiz_average,assignment_rate,mobile_engagement,financial_aid,dropped_out
sdv-id-boSbYt,57.3,45.4,50.1,0,1,1
sdv-id-njBRts,96.2,32.2,30.6,1,0,0
sdv-id-LEyczF,80.5,33.6,54.6,1,1,0
sdv-id-fHIsSb,71.4,53.1,47.0,0,1,0
sdv-id-lWJwjn,86.3,12.8,68.2,2,1,0
sdv-id-FnpKME,84.4,72.4,77.7,2,0,0
sdv-id-HvgbJg,100.0,87.3,49.7,2,0,1
sdv-id-pWjPfy,76.9,69.1,83.2,0,1,0
sdv-id-mEQZdO,100.0,0.2,41.0,1,0,0
sdv-id-MBaNig,100.0,66.1,79.3,0,1,0
sdv-id-GQzBnM,87.0,87.8,53.3,2,1,0
sdv-id-MySXdx,100.0,70.5,98.0,0,0,0
sdv-id-BpxFrm,100.0,19.6,93.3,1,1,0
sdv-id-HqemnG,100.0,67.0,30.6,2,1,0
sdv-id-hyHYSw,88.5,59.4,67.8,1,1,0
sdv-id-geLWyv,71.3,10.9,73.8,1,0,1
sdv-id-sBFFUT,100.0,69.1,57.8,1,1,0
sdv-id-tkiMPB,89.5,49.8,30.6,1,0,0
sdv-id-dfZFUC,100.0,37.5,33.7,1,0,0
sdv-id-JEnITf,82.5,37.6,97.2,2,1,1
sdv-id-HhpHqn,100.0,54.6,57.4,0,0,0
sdv-id-kRxmEp,84.6,84.5,100.0,0,1,0
sdv-id-YaKARk,97.6,91.5,79.0,0,0,0
sdv-id-IKUyza,68.5,91.1,77.2,2,1,0
sdv-id-uwLrRP,99.3,74.6,55.4,0,0,0
sdv-id-OPhaRV,80.5,70.4,43.8,1,0,0
sdv-id-ChdVuA,97.0,76.5,40.2,1,0,0
sdv-id-IrpyjC,94.8,13.7,78.5,1,0,1
sdv-id-ZjwDft,93.7,99.4,100.0,1,1,1
sdv-id-CTQrms,53.9,20.1,30.6,0,1,0
sdv-id-rYctlC,63.9,6.9,88.7,0,1,0
sdv-id-FRsdEQ,64.0,45.5,75.9,1,1,1
sdv-id-axvdcD,100.0,48.7,100.0,0,1,1
sdv-id-vWJnam,67.7,86.0,49.9,0,1,0
sdv-id-aUQtWe,98.0,78.1,79.9,1,0,0
sdv-id-mcAgxe,67.3,86.0,71.4,1,1,1
sdv-id-ssiPVL,77.5,52.5,93.4,1,0,0
sdv-id-MtOclM,100.0,16.2,96.0,1,1,0
sdv-id-zsLLFs,90.8,26.8,36.4,2,0,0
sdv-id-mnhIjP,100.0,88.8,62.2,2,0,0
sdv-id-ODrCtx,100.0,22.6,96.3,0,0,1
sdv-id-RnsQeP,77.4,78.9,81.7,0,1,0
sdv-id-iysDXu,96.1,55.8,71.1,2,0,1
sdv-id-AehKlg,94.4,78.2,39.6,0,0,0
sdv-id-qyjzpT,92.2,81.8,98.5,0,0,1
sdv-id-sXAqLq,100.0,91.7,69.7,1,0,0
sdv-id-wYvaka,58.3,77.3,45.4,2,0,1
sdv-id-bsuGeK,100.0,88.8,74.9,1,0,0
sdv-id-AhurUc,90.2,89.0,69.5,0,1,0
sdv-id-MIuVtT,92.1,52.7,30.6,1,0,0
sdv-id-KcOVym,98.4,87.9,34.7,1,0,0
sdv-id-FLBrBc,40.5,23.7,78.8,2,0,0
sdv-id-XmrTrd,64.0,76.8,77.2,2,1,0
sdv-id-uBbRoB,100.0,89.9,40.7,1,0,0
sdv-id-naboTo,100.0,60.5,71.0,1,0,0
sdv-id-gbzybL,99.6,73.3,56.8,1,0,1
sdv-id-zOrtGR,100.0,88.1,40.9,1,0,0
sdv-id-EiUFTt,100.0,10.0,30.6,0,1,0
sdv-id-qGJykt,100.0,17.1,100.0,1,0,0
sdv-id-taRUCN,75.5,94.4,79.9,1,1,0
sdv-id-FHtzlh,64.9,96.0,100.0,1,0,0
sdv-id-XBIPRx,99.3,49.6,90.3,1,1,1
sdv-id-hnjOOF,100.0,73.2,74.1,2,1,0
sdv-id-AeurDP,100.0,36.6,77.6,2,1,0
sdv-id-lMytjC,81.6,44.2,72.4,1,0,0
sdv-id-qpmWkG,79.2,51.2,79.3,1,0,1
sdv-id-YapKHJ,100.0,19.7,100.0,1,0,0
sdv-id-mIzOKq,95.9,57.7,31.7,0,1,1
sdv-id-nXeQdb,87.0,49.5,79.0,0,0,1
sdv-id-RLaoEK,89.8,79.1,97.0,2,0,1
sdv-id-FTgmwQ,100.0,14.0,56.8,1,0,0
sdv-id-iXxgoW,100.0,7.1,73.0,1,0,1
sdv-id-emINJF,100.0,67.2,31.4,1,0,0
sdv-id-JzVPPQ,100.0,70.8,75.3,1,0,0
sdv-id-gNKsKj,92.3,77.6,59.5,1,0,0
sdv-id-SgPJsN,97.8,47.0,44.7,2,0,0
sdv-id-XbSbNC,85.3,59.4,66.7,1,0,0
sdv-id-HgQwjX,62.5,35.9,69.7,0,1,1
sdv-id-yNvRbr,73.8,76.5,47.6,0,1,0
sdv-id-mkmskK,100.0,67.5,81.7,2,0,1
sdv-id-DRpXPD,62.2,87.7,91.5,2,1,0
sdv-id-yMCEzX,83.1,58.8,34.7,2,1,0
sdv-id-uyxpAx,100.0,25.0,47.8,0,0,0
sdv-id-uXWKFH,93.0,68.6,100.0,1,0,0
sdv-id-gSrMsW,100.0,74.8,57.3,1,0,1
sdv-id-bNrsSy,95.2,60.6,62.6,1,0,1
sdv-id-VoPhTr,100.0,42.8,69.1,0,1,0
sdv-id-YUMazz,100.0,81.4,81.4,1,1,0
sdv-id-xDyEFx,100.0,1.2,89.9,1,0,0
sdv-id-ETFlhI,88.3,61.0,66.6,0,0,1
sdv-id-zEJASg,100.0,0.2,81.7,1,0,0
sdv-id-PXtYhZ,69.5,53.3,72.0,1,0,1
sdv-id-ECVXpr,97.9,23.8,93.1,0,0,0
sdv-id-kswlha,100.0,67.4,69.0,0,0,0
sdv-id-hQzVMS,55.1,13.4,86.2,1,0,0
sdv-id-yIFqeW,44.8,47.8,48.7,0,0,0
sdv-id-uUlYPT,83.7,49.1,85.3,1,1,0
sdv-id-PrZXjE,98.7,24.9,100.0,1,0,1
sdv-id-jomxCE,100.0,57.7,57.4,0,0,0
sdv-id-xTxaqS,100.0,51.7,30.6,0,0,0
sdv-id-cnSmCZ,68.2,68.7,57.1,1,0,0
sdv-id-KmHLLZ,70.5,52.5,63.3,1,0,0
sdv-id-EhYnIZ,81.2,87.3,83.1,2,0,0
sdv-id-otrLHi,92.6,52.5,100.0,0,1,0
sdv-id-QIYTsb,88.6,89.4,97.6,0,0,1
sdv-id-DryUPm,70.9,52.9,51.0,1,0,1
sdv-id-QXtOjP,72.1,41.9,65.3,0,0,0
sdv-id-zYFCeQ,100.0,47.5,73.4,2,0,0
sdv-id-lsfvVZ,84.5,65.3,83.5,2,0,1
sdv-id-NyZdQZ,100.0,4.5,75.6,1,0,0
sdv-id-lbiFJy,100.0,36.1,93.0,0,1,0
sdv-id-qvAGlf,94.8,90.0,78.3,0,1,1
sdv-id-kTbuUx,84.7,28.2,96.7,1,1,0
sdv-id-ORsdOn,100.0,15.5,53.4,0,0,0
sdv-id-qgzeDp,100.0,17.2,74.1,1,1,0
sdv-id-UVckJj,78.6,8.2,75.4,2,0,0
sdv-id-NrSDKs,100.0,50.0,99.2,0,0,0
sdv-id-slzmff,95.5,80.0,44.3,1,1,1
sdv-id-FAgaYy,83.2,60.5,93.6,2,1,1
sdv-id-TvxOBA,84.4,100.0,31.4,2,0,0
sdv-id-UXwZMU,86.8,31.9,98.9,1,1,0
sdv-id-KogkKW,100.0,35.8,30.7,2,0,0
sdv-id-eaZury,74.0,33.8,51.8,0,1,0
sdv-id-heYQVi,100.0,30.0,73.5,1,0,1
sdv-id-DbjzHH,71.3,38.6,61.3,2,0,0
sdv-id-QpgCAk,85.5,61.6,52.2,1,1,0
sdv-id-NziJTL,100.0,17.4,30.6,1,1,0
sdv-id-WzAjZz,100.0,18.8,82.3,1,1,0
sdv-id-ccUUqK,86.2,100.0,82.2,2,0,1
sdv-id-GwbPby,94.4,47.3,76.7,1,1,0
sdv-id-nyInwN,87.5,61.8,100.0,2,0,1
sdv-id-nPTWtD,100.0,35.6,87.1,1,0,1
sdv-id-xTAOOy,100.0,32.3,71.9,0,0,1
sdv-id-uDWwzv,99.3,65.8,76.2,0,1,0
sdv-id-sQVggY,100.0,60.0,100.0,1,0,0
sdv-id-PCvJhF,100.0,46.5,79.7,0,0,0
sdv-id-EFzrIs,79.9,34.7,81.9,1,0,0
sdv-id-vZAwvL,100.0,55.2,70.9,0,1,0
sdv-id-uLNGkV,96.7,46.3,55.4,2,1,0
sdv-id-FCApFJ,90.4,61.4,84.8,2,0,0
sdv-id-NSSVQA,78.5,57.4,77.2,2,1,0
sdv-id-sPFtAn,83.0,19.2,76.9,1,0,0
sdv-id-TWnwNP,72.6,76.8,77.1,0,0,0
sdv-id-roFTey,96.2,100.0,86.7,1,0,0
sdv-id-AdjliA,100.0,71.2,97.4,1,0,0
sdv-id-XntJFq,88.6,47.8,85.6,2,0,0
sdv-id-FKvNiw,100.0,86.2,47.7,1,1,0
sdv-id-DxYrsI,92.8,98.0,67.3,0,0,0
sdv-id-sexjxk,100.0,36.2,73.9,1,0,0
sdv-id-WLmJMg,100.0,49.4,79.1,1,0,0
sdv-id-NQYXaM,100.0,100.0,64.8,0,0,1
sdv-id-BoQRHw,98.6,76.2,87.5,0,0,0
sdv-id-bekwIe,44.1,100.0,37.3,1,1,1
sdv-id-OyMhoU,65.2,100.0,73.0,0,0,0
sdv-id-ZyksoL,100.0,55.6,83.1,0,0,0
sdv-id-jRVvvq,100.0,66.4,92.7,1,1,1
sdv-id-VzYUYN,83.4,7.5,67.7,0,1,0
sdv-id-okswQY,100.0,82.6,61.1,1,0,1
sdv-id-hsuSeb,82.3,47.7,88.4,2,0,0
sdv-id-vtlnMP,100.0,15.0,42.1,0,1,0
sdv-id-mpCqoM,71.5,87.7,43.2,0,0,0
sdv-id-wxBleZ,94.1,43.1,62.0,1,1,1
sdv-id-ExDZlX,94.7,58.9,96.7,0,1,0
sdv-id-OUSQtw,68.3,99.5,77.1,2,0,0
sdv-id-IMepZa,100.0,51.7,82.3,1,0,0
sdv-id-ebWdWg,100.0,63.9,100.0,0,0,0
sdv-id-UXpAZZ,93.2,61.7,51.2,1,0,0
sdv-id-lnRZzu,72.2,72.3,30.6,1,1,0
sdv-id-zoJzSq,100.0,40.9,94.7,2,0,0
sdv-id-EetGnh,69.8,11.5,100.0,1,0,1
sdv-id-uvmGnr,93.5,100.0,100.0,1,0,0
sdv-id-DQJxPN,83.5,27.4,75.3,2,1,1
sdv-id-SdgINo,80.2,22.8,99.8,1,0,1
sdv-id-GLvxBh,100.0,37.7,54.4,1,0,0
sdv-id-kyqjmU,72.9,65.6,30.6,1,0,1
sdv-id-LCAOIJ,100.0,74.5,98.1,1,0,0
sdv-id-skntuW,51.3,38.7,72.9,2,0,1
sdv-id-WdxtKK,100.0,53.2,61.9,0,1,0
sdv-id-jQlzYH,100.0,72.2,72.3,0,0,0
sdv-id-QzRSgP,100.0,74.0,100.0,0,1,0
sdv-id-FrLHzU,100.0,100.0,68.1,1,0,0
sdv-id-tnITVf,80.6,30.1,51.2,1,1,1
sdv-id-gthssi,92.6,50.9,82.2,1,0,1
sdv-id-uysGhO,64.0,24.0,100.0,2,0,1
sdv-id-heBBDq,100.0,100.0,51.1,1,0,0
sdv-id-skMHfi,100.0,35.7,77.8,2,1,1
sdv-id-kTRGfM,96.0,63.2,83.8,1,1,0
sdv-id-AzGzJu,94.2,74.4,80.1,1,0,0
sdv-id-QNTRqx,69.1,52.2,32.0,1,0,1
sdv-id-qQpChU,100.0,40.9,60.7,1,0,1
sdv-id-XFLZwW,67.4,24.1,43.7,1,0,0
sdv-id-movGAs,49.7,57.8,87.3,1,0,1
sdv-id-zmlxkV,98.8,100.0,64.0,0,0,0
sdv-id-OEsbaY,100.0,64.1,35.2,1,0,0
sdv-id-FunRpS,51.8,44.6,30.6,1,1,1
sdv-id-ZViwQI,95.0,22.5,67.6,1,0,1
sdv-id-LOaUFX,100.0,73.2,45.3,1,0,0
sdv-id-PzNTVz,64.3,49.3,40.7,1,0,0
sdv-id-QWFyig,69.0,15.6,70.7,1,1,0
sdv-id-lVOlgB,100.0,20.5,45.6,1,0,0
sdv-id-wsOXRL,96.0,69.4,71.1,2,1,1
sdv-id-bVeQBk,100.0,53.4,78.4,1,1,0
sdv-id-JPJSSE,87.8,35.9,89.0,1,0,0
sdv-id-aekkbZ,77.0,100.0,41.6,1,0,0
sdv-id-yKmzWD,91.5,22.4,30.6,2,1,0
sdv-id-iqtjjj,65.0,25.4,75.1,2,0,1
sdv-id-rwbgUI,88.9,25.7,52.4,1,0,1
sdv-id-JymiBE,57.6,37.0,78.1,0,0,0
sdv-id-egkVTv,66.1,49.5,30.6,2,0,0
sdv-id-AJDfGG,100.0,31.9,77.4,2,0,1
sdv-id-tUevxy,89.5,49.0,30.6,1,0,0
sdv-id-pxFhOC,100.0,1.6,42.9,0,0,0
sdv-id-gMNwUG,67.4,28.9,53.7,0,1,1
sdv-id-iuGwKq,76.9,91.5,82.8,2,0,0
sdv-id-RbHgFe,58.5,50.3,89.4,0,1,0
sdv-id-DUWkQX,67.0,71.8,59.0,2,0,1
sdv-id-dVglnE,100.0,53.1,30.6,1,0,0
sdv-id-VTizum,61.5,54.4,55.5,0,0,1
sdv-id-LEjlQf,86.4,24.8,40.2,1,0,1
sdv-id-ZeFCNy,71.9,67.7,66.2,2,0,0
sdv-id-Tntqed,96.3,90.8,73.0,1,1,0
sdv-id-hhBiCX,96.2,37.0,94.7,1,0,1
sdv-id-AvQGdb,100.0,81.0,84.6,1,1,0
sdv-id-qKAxRK,71.4,60.1,53.2,1,1,0
sdv-id-FnlGae,85.0,53.2,77.4,0,0,0
sdv-id-lxlSrA,84.2,100.0,38.1,1,1,1
sdv-id-yxJJwI,69.6,36.3,51.4,2,1,0
sdv-id-tbROyO,100.0,43.8,30.6,2,0,0
sdv-id-sozmlC,97.6,20.6,37.8,2,1,1
sdv-id-nCzwxk,100.0,71.8,73.9,0,0,0
sdv-id-yUuqNu,81.5,44.5,34.4,1,0,0
sdv-id-svBblV,91.5,65.5,46.3,0,1,0
sdv-id-yBvGXa,100.0,100.0,34.2,1,0,1
sdv-id-poglAs,100.0,52.3,64.6,1,1,0
sdv-id-szDXNK,97.5,87.7,63.7,0,0,1
sdv-id-DJCZzj,78.8,60.0,47.5,1,1,0
sdv-id-qTXdLR,92.7,64.5,49.4,0,1,0
sdv-id-kqNyxS,100.0,27.2,86.2,1,1,0
sdv-id-wUfNMc,69.7,17.7,93.2,0,1,1
sdv-id-MlNIrh,99.8,47.0,43.2,0,0,1
sdv-id-FQIPCZ,100.0,60.6,32.2,2,1,1
sdv-id-BVkxXU,100.0,50.4,97.2,2,1,0
sdv-id-jCVKtq,99.3,61.3,73.7,0,0,0
sdv-id-MNpXDt,83.4,29.0,30.6,1,1,0
sdv-id-mvApaq,86.8,72.3,85.0,0,1,0
sdv-id-IXuftr,93.2,64.4,84.9,2,0,0
sdv-id-mSOVWj,94.8,41.3,88.6,1,1,1
sdv-id-nAwwIw,78.9,44.1,94.2,2,0,0
sdv-id-TVQgea,97.0,63.4,70.6,2,0,0
sdv-id-UIQViu,100.0,45.7,45.7,1,0,0
sdv-id-VPyCap,100.0,13.0,66.9,0,0,0
sdv-id-IUyiWp,100.0,30.5,30.6,1,1,0
sdv-id-ZlziVY,100.0,45.0,79.4,1,0,0
sdv-id-tyfSrz,75.9,85.3,57.5,0,1,0
sdv-id-kbcqhC,73.5,12.6,91.6,1,0,1
sdv-id-fUvvaB,100.0,74.3,48.7,1,0,0
sdv-id-uVfNrE,95.9,30.4,74.7,2,0,0
sdv-id-fFcUWY,87.4,85.5,94.6,2,0,0
sdv-id-ZWtJEr,100.0,62.6,38.9,0,1,0
sdv-id-sOGRtN,100.0,81.9,99.1,1,0,0
sdv-id-vdAwpZ,96.6,100.0,88.8,2,1,1
sdv-id-Hzgnjs,78.1,23.4,37.6,2,1,0
sdv-id-zmeKBV,98.2,40.8,73.7,1,1,1
sdv-id-VJPBtU,94.8,47.9,99.2,1,0,0
sdv-id-ZCzEbS,88.1,46.3,51.9,1,0,0
sdv-id-lpOTOg,100.0,5.0,44.7,1,0,0
sdv-id-ziewBv,95.6,74.9,70.8,1,1,0
sdv-id-jJVaVO,100.0,66.3,67.4,2,0,1
sdv-id-oFiGiX,100.0,55.3,78.1,1,0,1
sdv-id-SGUNqX,100.0,100.0,67.1,1,0,0
sdv-id-LgpImq,100.0,86.4,68.0,0,0,1
sdv-id-eftAju,100.0,30.4,87.1,0,0,0
sdv-id-wBMTba,100.0,45.2,59.9,0,0,1
sdv-id-cSqqfh,76.8,24.6,75.9,2,0,0
sdv-id-XzNKOc,90.6,56.1,30.6,1,0,0
sdv-id-iCKxJu,87.3,12.6,42.6,1,0,0
sdv-id-XbLIYf,94.4,69.2,78.1,0,0,0
sdv-id-gzkjNC,95.2,56.3,95.6,2,0,0
sdv-id-dqTKrg,100.0,82.3,86.3,2,0,1
sdv-id-eoiTCl,100.0,90.2,97.8,0,0,0
sdv-id-mcbkgD,73.3,22.6,87.3,1,0,1
sdv-id-XEPSPy,87.8,93.7,55.1,1,0,1
sdv-id-bWAXHu,93.9,55.2,67.1,1,0,0
sdv-id-Paluif,100.0,83.5,72.0,0,0,0
sdv-id-TWguTT,100.0,14.2,77.4,1,0,0
sdv-id-FMmVDH,82.2,39.5,87.7,2,1,0
sdv-id-JNzfSk,100.0,59.3,83.0,2,0,1
sdv-id-WHbiBa,74.9,47.6,81.2,0,0,0
sdv-id-yTIwSz,97.1,23.9,55.0,1,0,0
sdv-id-yOdqRa,100.0,78.5,36.7,0,0,0
sdv-id-voWqkH,77.2,89.5,52.3,2,1,0
sdv-id-RObRSP,100.0,18.3,42.9,2,1,0
sdv-id-StszwX,100.0,35.5,35.0,0,1,0
sdv-id-NPHVcr,93.9,44.2,77.4,2,0,0
sdv-id-alAMaG,100.0,33.7,82.7,1,1,0
sdv-id-moESQZ,47.3,20.8,50.3,1,1,1
sdv-id-qSoequ,68.6,72.6,30.6,1,0,0
sdv-id-JbBbYJ,70.8,47.9,81.1,2,0,0
sdv-id-NSXSpk,73.8,74.7,53.0,0,1,0
sdv-id-WWQalJ,86.6,31.2,30.9,1,1,1
sdv-id-ihgSjy,83.3,32.5,44.9,2,0,1
sdv-id-TzGAuf,94.3,10.1,100.0,0,1,1
sdv-id-nAaSgN,100.0,59.3,100.0,1,0,0
sdv-id-ChdfcZ,87.8,88.8,98.1,1,0,0
sdv-id-eiTrXX,99.6,79.1,61.6,0,1,0
sdv-id-bwrDwn,100.0,30.8,54.1,0,1,0
sdv-id-cIpwmO,94.4,61.7,73.3,2,0,0
sdv-id-CDmIDA,100.0,75.2,52.6,2,0,1
sdv-id-mvTXYG,100.0,60.6,74.8,0,0,0
sdv-id-jOWAZq,70.1,90.8,74.7,2,1,0
sdv-id-zHWbOw,64.1,86.5,89.8,0,0,0
sdv-id-fpuGSV,100.0,54.5,81.0,1,1,0
sdv-id-gEZAar,100.0,58.3,76.1,1,1,0
sdv-id-nZsJrL,62.3,51.2,52.1,2,0,1
sdv-id-Vnjkjc,80.3,33.0,61.2,2,1,0
sdv-id-jnAPeB,74.6,25.3,50.7,0,0,0
sdv-id-OEsDOd,100.0,56.9,77.6,2,0,1
sdv-id-scYGUl,80.6,73.9,74.5,2,0,0
sdv-id-bnfbvD,84.1,80.9,85.8,1,0,1
sdv-id-dRjjRT,100.0,33.3,100.0,1,1,0
sdv-id-XuLHrU,92.6,27.4,73.7,1,0,1
sdv-id-UZZGWy,51.7,58.7,35.8,2,1,1
sdv-id-ZgnNTh,37.1,59.3,30.6,2,1,0
sdv-id-cySDxI,85.5,18.7,33.7,2,1,1
sdv-id-GpnGim,63.6,48.9,43.3,0,0,1
sdv-id-XlicRq,82.1,89.6,73.7,0,1,0
sdv-id-aNVrqm,89.5,83.0,97.9,0,1,0
sdv-id-nNWuPf,91.5,94.1,86.8,0,0,0
sdv-id-gAwSqZ,80.8,17.0,79.6,2,0,0
sdv-id-lgIaVv,100.0,54.0,36.8,0,0,0
sdv-id-EZorMD,82.0,8.9,35.1,1,1,0
sdv-id-PVBYwf,100.0,66.2,70.0,0,1,0
sdv-id-dzFGRJ,83.4,35.6,81.1,2,0,0
sdv-id-mneXdx,95.6,17.1,45.7,1,1,0
sdv-id-PZJDKo,90.8,84.6,75.6,2,1,0
sdv-id-DgVUXD,84.1,66.5,69.1,0,1,0
sdv-id-NdUqIw,74.5,60.0,53.6,1,1,1
sdv-id-EKNLnu,94.0,52.5,61.7,2,0,0
sdv-id-QSsymh,100.0,30.7,70.3,1,0,0
sdv-id-ARAdEs,100.0,60.4,67.2,1,1,1
sdv-id-XyOkAh,100.0,69.5,30.6,1,0,1
sdv-id-mGoobp,86.7,50.9,83.9,2,1,0
sdv-id-jfmkhD,100.0,41.1,81.8,1,0,0
sdv-id-hqcszV,77.7,96.3,56.8,0,0,0
sdv-id-CThLHi,100.0,83.6,39.8,1,0,0
sdv-id-jdFQNb,79.1,75.4,95.1,1,1,0
sdv-id-YbZSPR,100.0,32.2,94.8,0,0,0
sdv-id-KzPVBT,69.3,66.1,69.7,2,0,0
sdv-id-vboQro,78.8,48.3,30.6,0,0,0
sdv-id-GrfqnT,75.2,51.8,99.9,2,0,1
sdv-id-MLLPKW,100.0,14.5,56.2,2,0,1
sdv-id-fsnEmD,74.2,84.9,75.2,0,1,1
sdv-id-jVoBTR,100.0,35.7,92.8,1,0,0
sdv-id-EsQiNR,100.0,8.0,94.0,0,1,1
